"key","en","ja"
"blessing.alchemy_blessing.name","Blessing of Alchemy","錬金術の祝福"
"blessing.alchemy_blessing.description","Every time one {magic_gold_icon} is created, create an extra {add} {magic_gold_icon}","{magic_gold_icon}が1つ生成されるたびに、追加で{add}個の{magic_gold_icon}を生成する"
"blessing.balance_blessing.name","Blessing of Balance","均衡の祝福"
"blessing.balance_blessing.description","The tower requirement that is the furthest from being met by will have its resource gain increased by {percent_increase}% 

- If all tower requirements are met, or there are no tower requirements, increase all tower requirement resource gains by {all_increase}% instead.","達成から最も遠いタワー要件のリソース獲得量が{percent_increase}%増加します。

- 全てのタワー要件が満たされている、またはタワー要件が存在しない場合、代わりに全てのタワー要件のリソース獲得量が{all_increase}%増加します。"
"blessing.balance_blessing_exception.description","- Does not apply to {cosmic_dust_icon}","- {cosmic_dust_icon}には適用されません"
"blessing.blessing_of_carving.name","Blessing of Carving","彫刻の祝福"
"blessing.blessing_of_carving.description","Unlocks the option to auto-buy Totems.","トーテムの自動購入オプションを解放します。"
"blessing.blessing_of_compounding.name","Blessing of Compounding","複利の祝福"
"blessing.blessing_of_compounding.description","The Blessing of Destruction bonuses will increase by a compounding {percent_increase}%","「破壊の祝福」のボーナスが{percent_increase}%の複利で増加する"
"blessing.blessing_of_curses.name","Blessing of Curses","呪いの祝福"
"blessing.blessing_of_curses.description","Shamans will apply {effect} to the wall. When 100 stacks are reached, deals damage to the wall equal to {mult} times the damage of all Shamans combined.","シャーマンが壁に{effect}を付与します。スタックが100に達すると、全シャーマンの合計ダメージの{mult}倍のダメージを壁に与えます。"
"blessing.blessing_of_destruction.name","Blessing of Destruction","破壊の祝福"
"blessing.blessing_of_destruction.description","Non-sorcery Spirit productivity will increase by {percent_increase}% for every order of magnitude of damage per minute.","ソーサリー以外のスピリットの生産性が、毎分ダメージの桁が1つ上がるごとに{percent_increase}%増加する。"
"blessing.blessing_of_destruction.active_description","Non-sorcery Spirit productivity will increase by {percent_increase}%

 - Next level at {damage} damage per minute.","ソーサリー以外のスピリットの生産性が{percent_increase}%増加します

- 次のレベル: 毎分{damage}ダメージ。"
"blessing.blessing_of_diplomacy.name","Blessing of Diplomacy","外交の祝福"
"blessing.blessing_of_diplomacy.description","Every time you establish relations with a nation, gain {amount} {magic_gold_icon}.

- Not affected by resource bonuses.","国家と国交を樹立するたびに、{amount}個の{magic_gold_icon}を獲得します。

- リソースボーナスの影響は受けません。"
"blessing.blessing_of_effects.name","Blessing of Effects","効果の祝福"
"blessing.blessing_of_effects.description","Each status effect on the wall will only decay after it reaches {decay} stacks","壁の各ステータス効果は、スタックが{decay}に達するまで減少しなくなります"
"blessing.blessing_of_exploration.name","Blessing of Exploration","探検の祝福"
"blessing.blessing_of_exploration.description","Reveals a new nation that will provide Trade Agreements equal to your diplomat population when relations are established.","国交を樹立すると、外交官の人口と同数の貿易協定をもたらす新たな国家を発見します。"
"blessing.blessing_of_few.name","Blessing of Few","少数精鋭の祝福"
"blessing.blessing_of_few.description","All Spirit Types that do not have the Blessing of 60 or Blessing of Population active will become {percent_increase}% more productive.","「60の祝福」または「人口の祝福」が有効でない全てのスピリットタイプの生産性が{percent_increase}%向上します。"
"blessing.blessing_of_fire.name","Blessing of Fire","火の祝福"
"blessing.blessing_of_fire.description","Ifrits will apply {effect} to the wall. For every stack of Molten, the Wall takes {percent_increase}% more damage from Dragon Fireballs.

- Also Dragon EXP gain increases by {exp_increase}%","イフリートが壁に{effect}を付与します。「溶融」のスタックごとに、壁が受けるドラゴン・ファイアボールのダメージが{percent_increase}%増加します。

- さらに、ドラゴンEXPの獲得量が{exp_increase}%増加します"
"blessing.blessing_of_fire_abridged.description","Ifrits will apply {effect} to the wall. For every stack of Molten, the Wall takes {percent_increase}% more damage from Dragon Fireballs.","イフリートが壁に{effect}を付与します。「溶融」のスタックごとに、壁が受けるドラゴン・ファイアボールのダメージが{percent_increase}%増加します。"
"blessing.blessing_of_hovering.name","Blessing of Hovering","ホバリングの祝福"
"blessing.blessing_of_hovering.description","Just hovering over a place will speed up spirits instead of clicking.","クリックの代わりに、対象エリアの上にカーソルを置くだけでスピリットの速度が上昇します。"
"blessing.blessing_of_multitasking.name","Blessing of Multitasking","マルチタスクの祝福"
"blessing.blessing_of_multitasking.description","Spirit Sages will research all subjects in The Academy at once.","スピリットセージがアカデミーの全教科を同時に研究するようになります。"
"blessing.blessing_of_n.name","Blessing of 60","60の祝福"
"blessing.blessing_of_n.description","Spirits with a population of {threshold} or more will become {percent_increase}% more productive.

-'Productive' means the primary function of the spirit type is boosted.","個体数が{threshold}以上のスピリットは、生産性が{percent_increase}%向上します。

-「生産性」とは、そのスピリットの持つ主要な能力を指します。"
"blessing.blessing_of_population.name","Blessing of Population","人口の祝福"
"blessing.blessing_of_population.description","The Spirit Type that has the largest population will become {percent_increase}% more productive.

-'Productive' means the primary function of the spirit type is boosted.","最も個体数の多いスピリットタイプの生産性が{percent_increase}%向上します。

-「生産性」とは、そのスピリットの持つ主要な能力を指します。"
"blessing.blessing_of_summoning.name","Blessing of Summoning","召喚の祝福"
"blessing.blessing_of_summoning.description","Unlocks the option to auto-buy {spirit_icon}.","{spirit_icon}の自動購入オプションを解放します。"
"blessing.blessing_of_supervision.name","Blessing of Supervision","指導者の祝福"
"blessing.blessing_of_supervision.description","Whichever clickable place you clicked last gets a speed boost of {percent_increase}% until a different area is clicked","最後にクリックした場所は、次に別の場所をクリックするまで、作業速度が{percent_increase}%向上します"
"blessing.blessing_of_supervision_units.description","- Sorcery units gain only half of the speed increase","- ソーサリーユニットが得られる速度ボーナスは半分になります"
"blessing.blessing_of_the_tower.name","Blessing of the Tower","塔の祝福"
"blessing.blessing_of_the_tower.description","When starting a new run, the tower will be built with the study, {cloudlings} cloudlings, and {tomes} tomes","新たな周回を開始すると、「書斎」、{cloudlings}体の「クラウドリング」、{tomes}冊の「トーム」を所持した状態でタワーが建設されます"
"blessing.blessing_of_the_tower_2.name","Greater Blessing of the Tower","塔の大いなる祝福"
"blessing.blessing_of_the_tower_2.description","When starting a new run, the tower will be built with Forestry, {druids} Druids, Prestige, and {spirit_tomes} additional Spirit Tomes.","新たな周回を開始すると、「林業」「プレステージ」が解放され、{druids}体の「ドルイド」と{spirit_tomes}冊の「スピリット・トーム」を追加で所持した状態でタワーが建設されます。"
"blessing.blessing_of_the_tower_3.name","Final Blessing of the Tower","塔の最終祝福"
"blessing.blessing_of_the_tower_3.description","When starting a new run, the tower will be built with all buildings up to and including Sorcery.","新たな周回を開始すると、「ソーサリー」までの全ての建物が建設された状態でタワーが始まります。"
"blessing.blessing_of_totems.name","Blessing of Totems","トーテムの祝福"
"blessing.blessing_of_totems.description","For every {totems} totems of a certain type are carved, increase the passive effect of the that totem type by a compounding {percent_increase}%","特定の種類のトーテムが{totems}個彫られるごとに、そのトーテムのパッシブ効果が{percent_increase}%の複利で増加します"
"blessing.build_academy.name","Blessing of Tomes","書物の祝福"
"blessing.build_academy.description","When there are at least {requirement} Spirit Tomes, {knowledge_icon} and {magic_icon} gain is increased by {percent_increase}%","スピリット・トームが{requirement}冊以上ある場合、{knowledge_icon}と{magic_icon}の獲得量が{percent_increase}%増加します"
"blessing.crafting_totem_blessing.name","Blessing of the Crafting Totem","製作トーテムの祝福"
"blessing.crafting_totem_blessing.description","Adds a new Totem that speeds up {blank_rune_icon} and {magic_gold_icon} creation by {percent_increase}%","{blank_rune_icon}と{magic_gold_icon}の生成速度を{percent_increase}%向上させる新たなトーテムを追加します"
"blessing.doubling_blessing.name","Blessing of Doubling","倍増の祝福"
"blessing.doubling_blessing.description","When a Cloudling, Spirit Tome, or Druid is summoned, it will be summoned twice.","クラウドリング、スピリット・トーム、ドルイドを召喚する際、2倍の数が召喚されます。"
"blessing.dragon_blessing.name","Blessing of the Dragon","ドラゴンの祝福"
"blessing.dragon_blessing.description","When the Dragon levels up, gain an additional {points} dragon ability points","ドラゴンがレベルアップすると、追加で{points}のドラゴンアビリティポイントを獲得します"
"blessing.dragon_wisdom_blessing.name","Blessing of the Dragon Wisdom","ドラゴンの知恵の祝福"
"blessing.dragon_wisdom_blessing.description","Every 10th level of a Dragon ability will boost the ability value by a compounding {percent_increase}%","ドラゴンアビリティレベルが10上がるごとに、アビリティの効果値が{percent_increase}%の複利で増加します"
"blessing.forest_keeper_blessing.name","Blessing of the Forest Keeper","森の番人の祝福"
"blessing.forest_keeper_blessing.description","The Forest Keeper will be summoned with {levels} upgrade levels","森の番人が{levels}のアップグレードレベルを持った状態で召喚されます"
"blessing.forestry_blessing.name","Blessing of the Forest","森の祝福"
"blessing.forestry_blessing.description","Increases {wood_icon} gain by {percent_increase}%","{wood_icon}の獲得量が{percent_increase}%増加します"
"blessing.gorgon_blessing.name","Blessing of the Gorgon","ゴルゴンの祝福"
"blessing.gorgon_blessing.description","Gorgons deal {percent_increase}% more damage for every {every} stacks of Weakness on the wall","壁の「弱体化」スタック{every}ごとに、ゴルゴンの与ダメージが{percent_increase}%増加します"
"blessing.knowledge_blessing.name","Blessing of Knowledge","知識の祝福"
"blessing.knowledge_blessing.description","Increases {knowledge_icon} gain by {percent_increase}%","{knowledge_icon}の獲得量が{percent_increase}%増加します"
"blessing.magic_gain_blessing.name","Blessing of Magic","魔法の祝福"
"blessing.magic_gain_blessing.description","Increases {magic_icon} gain by {percent_increase}%","{magic_icon}の獲得量が{percent_increase}%増加します"
"blessing.midway_blessing.name","Blessing of the Damage","ダメージの祝福"
"blessing.midway_blessing.description","{knowledge_icon} gain increases by {knowledge_increase}% and wall damage increases by {damage_increase}%","{knowledge_icon}の獲得量が{knowledge_increase}%、壁へのダメージが{damage_increase}%増加します"
"blessing.prestige_blessing.name","Blessing of the Beacon","灯台の祝福"
"blessing.prestige_blessing.description","When the tower has the prestige building built, {magic_icon} and {wood_icon} gain is increased by {percent_increase}%","タワーにプレステージの建物が存在する場合、{magic_icon}と{wood_icon}の獲得量が{percent_increase}%増加します"
"blessing.refining_blessing.name","Blessing of Refining","精錬の祝福"
"blessing.refining_blessing.description","Runes can be upgraded multiple times.","ルーンを複数回アップグレードできるようになります。"
"blessing.research_blessing.name","Blessing of Research","研究の祝福"
"blessing.research_blessing.description","When Alchemy is built, instantly gain {amount} {magic_gold_icon}.

- Is not affected by resource bonuses.","錬金術施設を建設すると、即座に{amount}個の{magic_gold_icon}を獲得します。

- リソースボーナスの影響は受けません。"
"blessing.runecraft_blessing.name","Blessing of Runecraft","ルーンクラフトの祝福"
"blessing.runecraft_blessing.description","Every time a Rune is created, create an extra {amount} Rune(s)","ルーンを1つ作成するたびに、追加で{amount}個のルーンを作成します"
"blessing.sage_totem_blessing.name","Blessing of the Sage Totem","賢者のトーテムの祝福"
"blessing.sage_totem_blessing.description","Adds a new Totem that increases Academy EXP gain by a compounding {percent_increase}%","アカデミーEXPの獲得量を{percent_increase}%の複利で増加させる新たなトーテムを追加します"
"blessing.specialization_blessing.name","Blessing of Specialization","専門化の祝福"
"blessing.specialization_blessing.description","Gain {amount} Dragon Ability Points initially

Every {every} levels a Dragon ability gains, increase all other Dragon abilities by {points} levels","開始時にドラゴンアビリティポイントを{amount}獲得します

ドラゴンアビリティのレベルが{every}上がるごとに、他の全てのドラゴンアビリティのレベルが{points}上昇します"
"blessing.spirit_debt.name","Blessing of Debt","借金の祝福"
"blessing.spirit_debt.description","Start with negative {amount} {spirit_icon}. Every non-sorcery Spirit type will start with {start_amount} {spirit_icon} summoned.","開始時のスピリットが-{amount}{spirit_icon}になる代わりに、ソーサリー以外の全スピリットタイプが{start_amount}{spirit_icon}召喚された状態で始まります。"
"button.autobuy_spirits","Autobuy","自動購入"
"button.bought","Bought","購入済み"
"button.build_tower","Build Tower","タワーを建設"
"button.built","Built","建設済み"
"button.buy","Buy","購入"
"button.cancel","Cancel","キャンセル"
"button.cannot_upgrade","Cannot Upgrade","アップグレード不可"
"button.close","Close","閉じる"
"button.continue_anyway","Continue Anyways","問題なく続行"
"button.craft","Craft","製作"
"button.early_prestige","Early Prestige","早期プレステージ"
"button.email","barribobgames@gmail.com","barribobgames@gmail.com"
"button.end_game","End Game","ゲーム終了"
"button.exit","Exit","終了"
"button.final_ascension","The Final Ascension","最終昇格"
"button.fire_magic","Fire Magic Beam","ファイア・マジックビーム"
"button.go_to_academy","Go To Academy (Shortcut {shortcut})","アカデミーへ移動 (ショートカット: {shortcut})"
"button.go_to_building","Go To Building (Shortcut {shortcut})","建物へ移動 (ショートカット: {shortcut})"
"button.go_to_dragon","Go To Dragon Nest (Shortcut {shortcut})","ドラゴンネストへ移動 (ショートカット: {shortcut})"
"button.go_to_embassy","Go To Embassy (Shortcut {shortcut})","大使館へ移動 (ショートカット: {shortcut})"
"button.go_to_forest","Go To Forestry (Shortcut {shortcut})","林業へ移動 (ショートカット: {shortcut})"
"button.go_to_observatory","Go To Observatory (Shortcut {shortcut})","天文台へ移動 (ショートカット: {shortcut})"
"button.go_to_orb","Go To Orb (Shortcut {shortcut})","オーブへ移動 (ショートカット: {shortcut})"
"button.go_to_prestige","Go To Prestige (Shortcut {shortcut})","プレステージへ移動 (ショートカット: {shortcut})"
"button.go_to_relics","Go To Alchemy Lab (Shortcut {shortcut})","錬金術ラボへ移動 (ショートカット: {shortcut})"
"button.go_to_runecraft","Go To Runecraft (Shortcut {shortcut})","ルーンクラフトへ移動 (ショートカット: {shortcut})"
"button.go_to_sorcery","Go To Sorcery (Shortcut {shortcut})","ソーサリーへ移動 (ショートカット: {shortcut})"
"button.go_to_sorcery_2","Go To Sorcery","ソーサリーへ移動"
"button.go_to_study","Go To Study (Shortcut {shortcut})","書斎へ移動 (ショートカット: {shortcut})"
"button.go_to_temple","Go To Temple (Shortcut {shortcut})","寺院へ移動 (ショートカット: {shortcut})"
"button.go_to_wall_wizard","Go To Wall Wizard (Shortcut {shortcut})","ウォールウィザードへ移動 (ショートカット: {shortcut})"
"button.google_forms","Google Forms","Googleフォーム"
"button.hide_maxed_skills","Hide Maxed","最大レベルの項目を隠す"
"button.learn","Learn","習得"
"button.maxed","Maxed","最大"
"button.new_game","New Game!","ニューゲーム！"
"button.next_run","Next Run","次の周回へ"
"button.ok","OK","OK"
"button.open_remap_menu","Remap Shortcuts","ショートカット再設定"
"button.open_save_folder","Open Save Folder","セーブフォルダを開く"
"button.preload_3","3 Prestige Points","3 プレステージポイント"
"button.preload_6","6 Prestige Points","6 プレステージポイント"
"button.preload_9","9 Prestige Points","9 プレステージポイント"
"button.preload_13","13 Prestige Points","13 プレステージポイント"
"button.preload_18","18 Prestige Points","18 プレステージポイント"
"button.preload_24","24 Prestige Points","24 プレステージポイント"
"button.prestige","Prestige","プレステージ"
"button.prestige_cancel","Cancel","キャンセル"
"button.prestige_confirm","Confirm","実行"
"button.refund_diplomats","Refund Diplomats","外交官を払い戻す"
"button.reset","Reset","リセット"
"button.reset_blessings","Refund All Blessings","全ての祝福を払い戻す"
"button.sorcery_manual","Sorcery Manual","ソーサリーマニュアル"
"button.steam_forum","Steam Forum","Steamフォーラム"
"button.toggle_fullscreen","Toggle Fullscreen","フルスクリーン切替"
"button.unlocked","Unlocked","解放済み"
"button.upgrade","Upgrade","アップグレード"
"button.upgrade_tower","Ascend Tower","タワーを昇格"
"button.view_blessings","View Blessings","祝福を見る"
"button.we'll_see","We'll See About That","いずれ分かるだろう"
"damage_source.curse.name","Curse","呪い"
"damage_source.curse.description","Curse","呪い"
"damage_source.dragon.name","Dragon","ドラゴン"
"damage_source.dragon.description","Dragon","ドラゴン"
"damage_source.fire_arrows.name","Fire Arrows","火矢"
"damage_source.fire_arrows.description","Fire Arrows","火矢"
"damage_source.fireball_shrapnel.name","Fireball Shrapnel","ファイアボールの破片"
"damage_source.fireball_shrapnel.description","Fireball Shrapnel","ファイアボールの破片"
"damage_source.gorgon.name","Gorgon","ゴルゴン"
"damage_source.gorgon.description","Gorgon","ゴルゴン"
"damage_source.ice_arrows.name","Ice Arrows","氷矢"
"damage_source.ice_arrows.description","Ice Arrows","氷矢"
"damage_source.ifrit.name","Ifrit","イフリート"
"damage_source.ifrit.description","Ifrit","イフリート"
"damage_source.shaman.name","Shaman","シャーマン"
"damage_source.shaman.description","Shaman","シャーマン"
"damage_source.spirit_sage.name","Spirit Sage","スピリットセージ"
"damage_source.spirit_sage.description","Spirit Sage","スピリットセージ"
"damage_source.wall_repair.name","Wall Repair","壁の修復"
"damage_source.wall_repair.description","Wall Repair

- Repairs wall by up to {repair_rate} damage per minute","壁の修復

- 毎分最大{repair_rate}ダメージ分、壁を修復する"
"damage_source.zephyr.name","Zephyr","ゼファー"
"damage_source.zephyr.description","Zephyr","ゼファー"
"dragon_ability.fireballs.name","Fireballs","ファイアボール"
"dragon_ability.fireballs.tooltip","If there is a wall, occasionally shoot a fireball that deals {main_value} base damage.","壁が存在する場合、基礎ダメージ{main_value}のファイアボールを時々発射する。"
"dragon_ability.magic_breath.name","Magic Breath","マジックブレス"
"dragon_ability.magic_breath.tooltip","Occasionally breathe {magic_icon} to The Orb, equal to the output of {main_value} Cloudlings","時々、{main_value}体のクラウドリングの生産量に等しい{magic_icon}をオーブに吹き込む"
"dragon_ability.next_value_tooltip","- Upgrade increases this to {next_value}","- アップグレードにより{next_value}に増加"
"dragon_ability.pulse_of_knowledge.name","Pulse of Knowledge","知識の波動"
"dragon_ability.pulse_of_knowledge.tooltip","Occasionally gain {knowledge_icon} equal to {main_value} tomes.

- Hold the button or press shift to buy multiple","時々、{main_value}冊分の{knowledge_icon}を獲得する。

- ボタン長押し、またはShiftキーを押しながらクリックで複数購入できます"
"dragon_ability.telepathy.name","Telepathy","テレパシー"
"dragon_ability.telepathy.tooltip","Increases Academy experience gain by {main_value}%","アカデミーの経験値獲得量が{main_value}%増加します"
"dragon_ability.treasure_keeper.name","Treasure Keeper","宝物の番人"
"dragon_ability.treasure_keeper.tooltip","Increases {magic_gold_icon} production speed by {main_value}%","{magic_gold_icon}の生産速度が{main_value}%増加します"
"header.abilities","Abilities","アビリティ"
"header.academy","Academy","アカデミー"
"header.alchemists","Alchemy Lab","錬金術ラボ"
"header.blessing_locked","Blessings Locked","祝福はロックされています"
"header.blessings","Blessings","祝福"
"header.blessings_view_only","Blessings (View Only)","祝福 (閲覧のみ)"
"header.building","Building","建物"
"header.dragon_nest","Dragon Nest","ドラゴンネスト"
"header.early_prestige","Early Prestige","早期プレステージ"
"header.embassy","Embassy","大使館"
"header.forestry","Forestry","林業"
"header.level","Lv.{level}","Lv.{level}"
"header.milestone_blessings","Milestone Blessings","マイルストーン祝福"
"header.new_update","New Update","アップデート情報"
"header.notice","Notice","お知らせ"
"header.observatory","Observatory","天文台"
"header.orb","The Orb","オーブ"
"header.playtest","Welcome to the Playtest!","プレイテストへようこそ！"
"header.prestige","Prestige","プレステージ"
"header.relics","Relics","レリック"
"header.remap","Remap","再設定"
"header.rune","Runecraft","ルーンクラフト"
"header.skills","Skills","スキル"
"header.small_buildings","Spirit Housing","スピリット住居"
"header.sorcery","Sorcery","ソーサリー"
"header.spirits","The Orb","オーブ"
"header.study","Study","書斎"
"header.temple","Temple","寺院"
"header.this_run","This Run","今回の周回"
"header.totems","Totems","トーテム"
"header.tower_requirements","Tower Requirements","タワー要件"
"header.training","Research","研究"
"header.unlockable_blessings","Unlockable Blessings","解放可能な祝福"
"header.unspent_points","You Have Unspent Points","未使用のポイントがあります"
"header.warden","Wall Wizard","ウォールウィザード"
"label.assigned_points","Assigned Points: {points}","割り振り済みポイント: {points}"
"label.attention_icon_explanation","The Tower can be Ascended to the next level.","タワーを次のレベルへ昇格させることができます。"
"label.build_tower_explanation","Does not use any resources to ascend","昇格にリソースは消費しません"
"label.calculating","Calculating...","計算中..."
"label.confirm_prestige","Are you sure you want to prestige?","本当にプレステージを 実行しますか？"
"label.cost","Cost:","コスト:"
"label.cost_icon","{cost} {icon}","{cost} {icon}"
"label.costs","- costs","- コスト"
"label.crafting_cost","Crafting Cost:","製作コスト:"
"label.damage_exp_explanation","When this bar is full, you gain a prestige point.

- The bar fills based on the damage dealt to the wall.

- ETA: {eta}","このバーが満タンになると、プレステージポイントを1獲得します。

- バーは壁に与えたダメージに応じて溜まります。

- 残り時間: {eta}"
"label.damage_type_blessing","Blessing Effect:","祝福効果:"
"label.dragon_costs","- costs {cost} {icon}","- コスト {cost} {icon}"
"label.dragon_level","Every time the Dragon levels up, you get an ability point to upgrade abilities

- ETA: {eta}","ドラゴンがレベルアップするたびに、アビリティを強化するためのアビリティポイントを1獲得します。

- 残り時間: {eta}"
"label.effects","Effects","効果"
"label.effects_description","These are the effects that are currently applied to the wall.","現在、壁に適用されている効果です。"
"label.ending_time","You built the greatest Wizard Tower in {hours}:{minutes}:{seconds}","あなたは{hours}:{minutes}:{seconds}で最高のウィザードタワーを築き上げました"
"label.feedback","Feedback","フィードバック"
"label.final_ascension_explanation","Can you ascend the tower one more time?","もう一度、タワーを昇格させられるか？"
"label.fire_magic_explanation","The Astrologer has determined that the wall can be destroyed using The Orb with the right resources.","占星術師は、適切なリソースをオーブと共に用いることで、壁を破壊できると突き止めました。"
"label.go_to_sorcery","Go To Sorcery (Shortcut 8)","ソーサリーへ移動 (ショートカット: 8)"
"label.go_to_spoiler","Go To ???","???へ移動"
"label.hover","Hover over","カーソルを合わせる"
"label.less_than_minute","Less than 1 minute","1分未満"
"label.maxed","Maxed","最大"
"label.new_update_description.0_0_3","The game has been given a major update! If you had a previous save, most progress will carry over, but consider starting a new game to properly experience some of the new features.","ゲームはメジャーアップデートされました！以前のセーブデータがある場合、進行状況のほとんどは引き継がれますが、新機能を存分に体験していただくために、新規でゲームを開始することをお勧めします。"
"label.new_update_description.playtest","This version has more content unlocked beyond what the demo provides. I am looking for feedback about the new content. Also, there are some utilities in the 'playtest' menu that may aid you. Have fun!","このバージョンでは、デモ版よりも多くのコンテンツが解放されています。新しいコンテンツに関するフィードバックをお待ちしています。また、「プレイテスト」メニューには、ゲームプレイの助けとなるユーティリティも用意されています。お楽しみください！"
"label.new_update_description.previous_playtest","It seems that you have possibly played the playtest version before. Note that the demo version is going to have less content unlocked than the closed playtest version.","以前にプレイテスト版をプレイされたことがあるようですね。デモ版はクローズドプレイテスト版よりも解放されるコンテンツが少ない点にご注意ください。"
"label.new_update_description.prototype","The game has been given a major update! If you had a previous save, some progress (like prestige points) will carry over, but I recommend starting a new game because many things have changed, and mechanics have been added/removed.","ゲームはメジャーアップデートされました！以前のセーブデータがある場合、プレステージポイントなどの一部の進行は引き継がれますが、多くの仕様変更や、システムの追加・削除が行われたため、新規でゲームを始めることを強くお勧めします。"
"label.not_active","- Not active","- 無効"
"label.points","Points:{points}","ポイント:{points}"
"label.points_earned","Points Earned:{points}","獲得ポイント:{points}"
"label.preloaded_saves","Preloaded Saves","プリロードセーブ"
"label.press_and_hold","Press and hold","長押し"
"label.prestige_early_explanation","Prestige early to restart the run or reconfigure your blessings, but there is no significant benefit.","早期にプレステージを行うと、周回をリスタートしたり祝福を再設定したりできますが、特に大きなメリットはありません。"
"label.prestige_exp_explanation","When this bar is full, you gain a prestige point.

- The bar fills based on the amount of {magic_icon} gained.

- ETA: {eta}","このバーが満タンになると、プレステージポイントを1獲得します。

- バーは{magic_icon}の獲得量に応じて溜まります。

- 残り時間: {eta}"
"label.prestige_explanation","Prestiging resets your progress, but allows you to gain blessings to make your next run better.","プレステージを行うと進行状況がリセットされますが、次の周回を有利に進めるための祝福を得ることができます。"
"label.prestige_points_explanation","Prestige points are used to gain blessings.","プレステージポイントを使って祝福を獲得します。"
"label.relics","Owned Relics","所有レリック"
"label.relics_needed","(need {needed} more)","(残り {needed}個)"
"label.relics_owned","- You own {owned}","- {owned}個所有"
"label.reset_blessings","You can also right-click to refund individual blessings.","右クリックで個別の祝福を払い戻すこともできます。"
"label.restore_wall","Have the Wall Wizard restore/disable the Cosmic Wall","ウォールウィザードに宇宙の壁を修復/無効化させる"
"label.rune_exp","Rune Progress","ルーン進行度"
"label.rune_exp_eta","Rune Progress

- ETA: {eta}","ルーン進行度

- 残り時間: {eta}"
"label.story_1","I see you've built quite the civilization, but that tower must go no higher.","見事な文明を築いたようだが、 その塔をこれ以上高くすることは許さん。"
"label.story_2","This great wall will stop you from ascending further.","この大いなる壁が、 貴様の行く手を阻むだろう。"
"label.story_3","I seem to have underestimated you. However, you shall not pass this wall.","どうやら貴様を侮っていたようだ。 だが、この壁を越えることはできんぞ。"
"label.story_4","Fine, I'll make a deal. If you can destroy this wall, I won't stop you anymore.","よかろう、取引だ。 もしこの壁を破壊できたなら、 もう貴様を止めはしない。"
"label.story_5","I am impressed by your determination. I may even stay and help a bit to see the final result.","その決意、感服した。 結末を見届けるため、 少しばかり力を貸してやろう。"
"label.supervision_blessing","Supervision Blessing","指導者の祝福"
"label.temple_exp","Cosmic Dust EXP","コズミックダストEXP"
"label.temple_exp_explanation","Cosmic Dust creation progress. When full, you get 1 Cosmic Dust. The bar fills based on damage dealt to the Cosmic Wall.

- ETA: {eta}","コズミックダスト生成の進行度。満タンになるとコズミックダストを1つ獲得します。バーは宇宙の壁に与えたダメージに応じて溜まります。

- 残り時間: {eta}"
"label.thanks_for_playing","Thanks for playing!","Thanks for playing!"
"label.the_end","The End","The End"
"label.tower_requirements_explanation","Fulfill the tower requirements to ascend the tower to the next level.","タワー要件を満たし、タワーを次のレベルへ昇格させましょう。"
"label.tower_resource_explanation","Accumulate a lifetime total of {cost} {resource}.
({accumulated} accumulated so far)","生涯合計で{cost}の{resource}を蓄積する。
(現在までの蓄積量: {accumulated})"
"label.tower_resource_explanation_balance_blessing","The balance blessing is active for this resource","このリソースには均衡の祝福が有効です"
